timestamp_ms,keypoint.right_elbow_x,keypoint.right_elbow_y,joint.right_elbow_x,joint.right_elbow_y,joint.right_elbow_z,angle.shoulder_abduction
0,264.338501,282.548645,-0.412709922,-0.327084839,0.386053532,42.1885376
103,265.0389099,282.1692505,-0.412359387,-0.327183127,0.379473954,42.62026596
216,265.1702271,281.6439819,-0.410849243,-0.321014434,0.383354962,42.05282593
323,264.4260864,282.9134216,-0.405550003,-0.323622137,0.37564379,41.91948318
424,266.0748901,281.2354126,-0.414441109,-0.324292094,0.378400892,42.56589127
531,265.0827026,282.4610901,-0.413398445,-0.323246926,0.375800908,42.39036179
629,265.5350342,281.5856018,-0.415500522,-0.317861289,0.377076358,43.804142
755,264.2947388,282.5632324,-0.404819965,-0.323196381,0.375880629,42.59071732
837,265.0389099,282.3297729,-0.415185422,-0.324534833,0.381456941,42.3684082
996,265.0681152,282.5048523,-0.41760841,-0.322867692,0.382796973,43.1918869
1059,265.7539063,282.855072,-0.419892699,-0.322669029,0.388150722,43.8009758
1175,265.0681152,283.015564,-0.421934485,-0.320576936,0.387278855,43.44174576
1258,264.4552612,283.0593262,-0.415078312,-0.323510706,0.381735861,42.85520554
1359,265.4620667,282.4465027,-0.416753471,-0.324415743,0.379750609,42.84496307
1463,264.9221802,283.0593262,-0.423454374,-0.326807678,0.37861982,43.31043625
1578,264.9659424,282.7529297,-0.416183919,-0.325060397,0.377428859,42.65423203
1675,264.6157532,282.5194702,-0.418190479,-0.324730068,0.373584181,42.23784637
1788,265.3453369,282.3151855,-0.41827032,-0.327564538,0.382264048,42.96599197
1890,264.6595459,282.4465027,-0.413825452,-0.328995407,0.37457037,42.61762619
2000,264.8200378,283.2198486,-0.425381482,-0.326666951,0.384454161,43.73154449
2102,264.2947388,282.7966919,-0.419624031,-0.322307646,0.386539608,42.9324379
2207,264.3239136,283.015564,-0.40411219,-0.325145572,0.38565737,41.59395981
2310,265.3015747,282.4173279,-0.416155726,-0.328814924,0.389906526,42.77037048
2459,264.8346252,282.8404541,-0.413520426,-0.323347896,0.379595339,42.42257309
2533,264.3822937,283.0009766,-0.408431739,-0.324756324,0.383085907,41.74701309
2663,264.5281982,283.1031189,-0.408796847,-0.325771153,0.380981147,41.60173035
2736,264.6595459,282.5048523,-0.409065515,-0.32696104,0.378042251,41.53636932
2842,264.3531189,282.709137,-0.408581734,-0.326920509,0.376550883,41.33466721
2946,264.4990234,282.3297729,-0.402446479,-0.32325089,0.380640924,41.11520386
3051,264.1488342,282.8112793,-0.40821749,-0.32411927,0.380364895,41.56199646
3157,264.3531189,282.3735352,-0.419815481,-0.326085806,0.37810728,42.38871765
3263,264.9805298,281.5272522,-0.4088974,-0.325212836,0.374617785,41.45417023
3411,264.8200378,282.548645,-0.418741018,-0.328127056,0.371542722,42.3830452
3467,264.4698486,282.7966919,-0.414191961,-0.322451591,0.377369016,42.44628906
3574,264.1342468,282.8696594,-0.403442979,-0.326845348,0.375834227,41.56829071
3680,263.7840576,283.321991,-0.410405099,-0.325810373,0.376807392,42.14471817
3782,264.2218018,283.8180847,-0.410193235,-0.326086879,0.377182484,42.19807053
3913,264.7470703,283.321991,-0.412054032,-0.31990844,0.380524278,42.50776291
4021,264.8638306,282.3443604,-0.407928586,-0.322110832,0.378535062,42.44591522
